#metadataBlock	name	dataverseAlias	displayName	blockURI												
	EngMeta		Engineering Metadata													
#datasetField	name	title	description	watermark	fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayoncreate	required	parent	metadatablock_id	termURI
	engMetaSystemParTextValue	Textual Value	The value of this system parameter (for non numerical values).		text	44	: #VALUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	engMetaSystemPar	EngMeta	https://schema.org/value
	engMetaGitter	Spatial Resolution	Specification of the spatial grid of the observation.		none	45		FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		EngMeta	
	engMetaGitterCountCells	Number of Cells	The number of 2D spatial cells.		int	46	#VALUE cells	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	engMetaGitter	EngMeta	
	engMetaGitterCountBlocks	Number of Blocks	The number of 3D spatial blocks.		int	47	#VALUE blocks	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	engMetaGitter	EngMeta	
	engMetaGitterCountX	Number of Points X	The number of points in x-direction.		int	48	X: #VALUE points,	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	engMetaGitter	EngMeta	
	engMetaGitterCountY	Number of Points Y	The number of points in y-direction.		int	49	Y: #VALUE points,	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	engMetaGitter	EngMeta	
	engMetaGitterCountZ	Number of Points Z	The number of points in z-direction.		int	50	Z: #VALUE points	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	engMetaGitter	EngMeta	
	engMetaGitterIntervalX	Interval X	The distance between the points in x-direction.		float	51	X: (#VALUE),	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	engMetaGitter	EngMeta	
	engMetaGitterIntervalY	Interval Y	The distance between the points in y-direction.		float	52	Y: (#VALUE),	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	engMetaGitter	EngMeta	
	engMetaGitterIntervalZ	Interval Z	The distance between the points in z-direction.		float	53	Z: (#VALUE)	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	engMetaGitter	EngMeta	
	engMetaGitterUnit	Unit	The unit of the grid.		text	54	#VALUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	engMetaGitter	EngMeta	https://schema.org/unitCode
	engMetaGitterScalingFormular	Scaling Formular	If the grid is not equidistant, the distance between points can be specified via a formular.		text	55	#NAME: #VALUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	engMetaGitter	EngMeta	
	engMetaTemp	Temporal Resolution	Temporal resolution of the observation. Can be defined either through a number of time steps with a definition of the intervals (with unit) between the timesteps (equidistant time steps) or a series of time steps together with the unit.		none	56		FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		EngMeta	
	engMetaTempPoints	Points	List of time points that describe the temporal resolution (if it can not be specified otherwise).		textbox	57	#VALUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	engMetaTemp	EngMeta	
	engMetaTempCountPoints	Number of time steps	The number of time points (with equidistant distance).		int	58	#VALUE time steps	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	engMetaTemp	EngMeta	
	engMetaTempInterval	Interval	Distance between two time points.		float	59	, #NAME: #VALUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	engMetaTemp	EngMeta	
	engMetaTempUnit	Unit	The unit of the temporal resolution.		text	60	#VALUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	engMetaTemp	EngMeta	https://schema.org/unitCode
	engMetaFlows	Flows	Information about in- and outflows relevant for boundary conditions.		none	61		FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		EngMeta	
	engMetaFlowsName	Name	Name of the flow.		text	62	#VALUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	engMetaFlows	EngMeta	
	engMetaFlowsComp	Components	List of system component names this flow belongs to.		text	63	(#NAME: #VALUE)	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	engMetaFlows	EngMeta	
	engMetaFlowsShape	Shape	Shape of the flow.		text	64	, #NAME: #VALUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	engMetaFlows	EngMeta	
	engMetaFlowsSize	Size	Size of the flow.		float	65	, #NAME: #VALUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	engMetaFlows	EngMeta	
	engMetaFlowsPosition	Position	The position of the flow.	(x, y, z)	text	66	, #NAME: #VALUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	engMetaFlows	EngMeta	
	engMetaBoundCond	Boundary Conditions	Definition of boundaries of the observed system.		none	67	,	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		EngMeta	
	engMetaBoundCondFlows	Flows	List of in- and outflows describing this boundary condition (detailed information about flows should be given under Flows).		text	68	#NAME: #VALUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	engMetaBoundCond	EngMeta	
	engMetaBoundCondPars	Parameters	List of all parameter names relevant for this boundary condition (detailed information about parameters should be given under Boundary Parameters.		text	69	#NAME: #VALUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	engMetaBoundCond	EngMeta	
